Coverage report: 40%
Show keyboard shortcuts
filter...
Hide keyboard shortcuts
Hot-keys on this page

n s m x c   change column sorting

Module	statements	missing	excluded	coverage
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/opera/options.py	41	25	0	39%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/opera/webdriver.py	17	7	0	59%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/phantomjs/__init__.py	0	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/phantomjs/service.py	26	17	0	35%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/phantomjs/webdriver.py	21	14	0	33%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/remote/__init__.py	0	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/remote/command.py	126	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/remote/errorhandler.py	169	121	0	28%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/remote/file_detector.py	21	11	0	48%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/remote/mobile.py	28	9	0	68%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/remote/remote_connection.py	113	35	0	69%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/remote/switch_to.py	54	36	0	33%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/remote/utils.py	41	29	0	29%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/remote/webdriver.py	385	197	0	49%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/remote/webelement.py	204	125	0	39%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/safari/__init__.py	0	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/safari/remote_connection.py	7	4	0	43%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/safari/service.py	22	15	0	32%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/safari/webdriver.py	45	32	0	29%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/support/__init__.py	0	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/support/select.py	125	107	0	14%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/support/ui.py	2	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/support/wait.py	50	40	0	20%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/webkitgtk/__init__.py	0	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/webkitgtk/options.py	36	23	0	36%
